w 1 2 3 
w 3 2 4 
w 5 6 7 
w 7 6 8 
w 9 10 7 
w 7 10 11 
w 7 11 5 
w 12 11 13 
w 13 11 10 
w 14 12 15 
w 15 12 13 
w 15 13 16 
w 17 18 15 
w 15 18 14 
w 19 20 17 
w 17 20 21 
w 17 21 18 
w 22 21 23 
w 23 21 20 
w 24 22 25 
w 25 22 23 
w 25 23 26 
w 27 28 25 
w 25 28 24 
w 29 30 27 
w 27 30 31 
w 27 31 28 
w 32 31 33 
w 33 31 30 
w 2 32 4 
w 4 32 33 
w 4 33 34 
w 35 36 3 
w 3 36 37 
w 3 37 1 
w 38 37 39 
w 39 37 36 
w 6 38 8 
w 8 38 39 
w 8 39 40 
w 33 30 29 
w 23 20 26 
w 26 20 9 
w 26 9 29 
w 13 10 16 
w 16 10 9 
w 16 9 19 
w 19 9 20 
w 35 34 36 
w 36 34 33 
w 36 33 39 
w 39 33 29 
w 39 29 40 
w 40 29 9 
r 6 41 38 
r 5 41 6 
r 11 41 5 
r 12 41 11 
r 14 41 12 
r 18 41 14 
r 21 41 18 
r 22 41 21 
r 24 41 22 
r 28 41 24 
r 31 41 28 
r 32 41 31 
r 2 41 32 
r 1 41 2 
r 37 41 1 
r 38 41 37 
r 42 43 8 
r 8 43 7 
r 40 9 42 
r 42 9 43 
r 7 43 9 
r 40 42 8 
r 44 45 29 
r 29 45 26 
r 27 25 44 
r 44 25 45 
r 26 45 25 
r 27 44 29 
r 46 47 19 
r 19 47 16 
r 17 15 46 
r 46 15 47 
r 16 47 15 
r 17 46 19 
r 48 49 4 
r 4 49 3 
r 34 35 48 
r 48 35 49 
r 3 49 35 
r 34 48 4 
